convo_id,avg_out_degree,n_nodes,avg_how_enjoyable,conv_length_min,n_participants,sex_pair
2174f1c1-9ab7-454b-ba48-a1ff70784398,1.4285714285714286,7,7.5,25.0,2,MM
218f2c21-b626-44e1-a0d7-ef9d3646a0a8,1.0,7,7.5,26.0,2,FM
219f3a85-89a1-4611-8d80-61f63910ec13,1.4166666666666667,12,8.5,35.0,2,FM
21b8dec1-fa9c-4603-993b-86e2130529ec,1.0,7,7.0,25.0,2,FM
22083989-6244-440b-af5b-93a3a10f6e04,1.125,8,8.5,30.0,2,FM
22579311-0848-472a-a1b7-9b663fbb4aab,0.9,10,7.0,1.0,2,UNK
2267d6bb-4542-4dff-872a-5593771a2d24,1.2,10,8.5,30.0,2,FM
22938143-89e2-445c-b3cc-d3503abeda83,1.6,5,4.0,27.0,2,FM
22a2c682-eb92-4e85-b570-7418de44ad58,1.1818181818181819,11,9.0,29.0,2,MM
230a227f-e1e3-46ef-8817-37912ba9f87a,1.5833333333333333,12,7.0,28.0,2,FM
231d78a6-e5bc-47da-bad1-67988b9c7dad,1.7272727272727273,11,9.0,30.0,2,FF
235004a8-6643-4be4-b09d-e19a6a2662f6,1.4166666666666667,12,6.5,27.0,2,FM
235f7b67-2ee7-4195-add8-21b41ad61f74,1.2727272727272727,11,7.5,25.0,2,FM
236e11f2-3508-4863-85ca-34048de3ce3c,1.1111111111111112,9,8.0,27.0,2,FF
238cbb3c-2f67-4bea-8a33-f090596a0ec9,1.1428571428571428,7,6.5,39.0,2,FM
23a1437e-4761-42c9-8bbd-48cdf86c09ff,1.5,10,6.5,26.0,2,FF
23d4ec0e-9357-400e-ba97-386dcd264a9d,1.1,10,7.5,25.0,2,FM
24292f26-1133-4475-ac34-37230db54f33,1.0,6,8.5,26.0,2,FM
243349a8-ddca-43f5-bfa7-3ece849fc8e5,1.2222222222222223,9,6.5,25.0,2,FM
24562220-f4ce-4d8a-8862-e2d33769083e,1.25,8,7.0,26.0,2,FM
